# Accelerometer Data File
# Started @Tue Apr 26 12:52:50 MESZ 2016
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.019140625m/sec^2; Max Range: 39.24; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: MEDIUM
0.287 1.455 9.308 10
0.076 1.359 8.772 10
-0.363 0.708 9.462 10
-0.134 0.574 9.481 0
-0.134 0.574 9.481 10
-0.229 0.459 9.462 10
-0.421 0.363 9.692 9
-0.421 0.478 9.902 10
-0.268 0.574 9.711 1
-0.268 0.574 9.711 10
-0.095 0.574 9.155 10
-0.325 0.44 9.404 0
-0.325 0.44 9.404 10
-0.038 0.421 9.653 10
-0.325 0.478 9.021 0
-0.325 0.478 9.021 10
-0.421 0.44 9.404 10
-0.229 0.708 9.021 0
-0.229 0.708 9.021 10
-0.478 0.689 9.059 9
-0.593 0.498 9.404 1
-0.593 0.498 9.404 10
-0.459 0.612 9.117 0
-0.459 0.612 9.117 10
-0.785 0.0 10.285 10
-0.421 0.325 9.443 0
-0.421 0.325 9.443 10
-0.114 1.11 8.389 10
-0.632 -0.057 10.056 0
-0.632 -0.057 10.056 10
-0.306 0.555 9.404 10
-0.134 0.651 9.385 0
-0.134 0.651 9.385 10
-0.076 0.766 8.389 10
0.172 0.919 9.538 10
-0.172 0.881 9.519 0
-0.172 0.881 9.519 10
-0.114 0.976 9.194 9
-0.057 1.149 9.002 1
-0.057 1.149 9.002 10
0.076 1.168 9.155 10
0.019 1.072 9.385 10
-0.076 0.996 9.232 0
-0.076 0.996 9.232 10
-0.153 0.9 9.213 9
-0.134 1.168 9.059 10
0.363 0.881 9.174 1
0.363 0.881 9.174 10
0.153 0.842 9.213 0
0.153 0.842 9.213 10
0.0 0.938 9.308 0
0.0 0.938 9.308 10
0.038 0.996 9.289 10
0.095 0.996 9.117 0
0.095 0.996 9.117 10
0.038 0.861 8.945 0
0.038 0.861 8.945 10
-0.057 0.708 9.021 10
-0.191 0.555 9.213 10
-0.172 0.574 9.347 9
-0.153 0.478 9.347 1
-0.153 0.478 9.347 10
0.0 0.498 9.213 0
0.0 0.498 9.213 10
0.114 0.536 9.232 9
-0.057 0.536 9.596 10
-0.249 0.229 9.538 1
-0.249 0.229 9.538 10
0.919 0.229 9.002 0
0.919 0.229 9.002 10
-0.459 0.114 9.615 0
-0.459 0.114 9.615 10
-0.708 0.019 9.634 10
-0.363 0.172 9.404 10
-0.057 0.402 9.098 10
0.191 0.478 9.308 0
0.191 0.478 9.308 10
1.13 0.459 8.925 10
-0.383 0.019 9.768 10
-0.459 -0.191 9.289 0
-0.459 -0.191 9.289 10
0.766 -0.498 9.634 0
0.766 -0.498 9.634 10
0.287 -0.421 9.883 10
0.555 -0.689 10.285 0
0.555 -0.689 10.285 10
-0.057 -0.804 9.577 10
-0.076 -0.574 9.826 0
-0.076 -0.574 9.826 10
-0.057 -0.306 9.807 9
-0.095 -0.191 9.557 0
-0.095 -0.191 9.557 10
-0.114 -0.076 9.577 1
-0.114 -0.076 9.577 10
-0.095 -0.191 9.577 10
-0.134 -0.363 9.443 0
-0.134 -0.363 9.443 10
-0.057 -0.363 9.443 10
-0.038 -0.268 9.672 0
-0.038 -0.268 9.672 10
0.019 0.0 9.404 10
-0.095 0.153 9.27 0
-0.095 0.153 9.27 10
-0.076 0.114 9.251 10
-0.114 -0.038 9.443 9
-0.057 -0.134 9.596 1
-0.057 -0.134 9.596 10
0.555 -0.402 9.711 0
0.555 -0.402 9.711 10
0.057 -0.44 9.404 10
-0.134 -0.383 9.577 10
-0.057 -0.249 9.462 10
0.057 -0.172 9.443 0
0.057 -0.172 9.443 10
-0.057 -0.114 9.289 0
-0.057 -0.114 9.289 10
-0.134 -0.114 9.289 10
-0.249 -0.038 9.366 0
-0.249 -0.038 9.366 10
-0.306 -0.019 9.404 10
-0.21 -0.057 9.538 9
0.038 -0.038 9.27 1
0.038 -0.038 9.27 10
-0.21 -0.057 9.366 10
-0.229 -0.076 9.462 0
-0.229 -0.076 9.462 10
-0.306 0.0 9.519 9
-0.21 -0.095 9.423 1
-0.21 -0.095 9.423 10
-0.114 -0.287 9.385 10
-0.114 -0.344 9.577 10
-0.153 -0.057 9.347 0
-0.153 -0.057 9.347 10
-0.038 0.114 9.251 9
0.038 0.038 9.328 1
0.038 0.038 9.328 10
0.0 -0.038 9.347 10
-0.287 -0.019 9.423 9
-0.095 -0.095 9.308 1
-0.095 -0.095 9.308 10
-0.287 -0.057 9.423 10
-0.21 -0.019 9.462 0
-0.21 -0.019 9.462 10
-0.229 -0.153 9.423 10
-0.344 -0.21 9.557 0
-0.344 -0.21 9.557 10
-0.306 -0.172 9.462 10
-0.229 -0.114 9.328 0
-0.229 -0.114 9.328 10
-0.191 0.019 9.519 0
-0.191 0.019 9.519 10
-0.191 -0.038 9.289 10
-0.344 0.076 9.519 10
-0.095 -0.191 9.232 9
-0.344 0.0 9.443 1
-0.344 0.0 9.443 10
-0.229 0.095 9.5 9
-0.191 -0.095 9.308 1
-0.191 -0.095 9.308 10
-0.172 -0.114 9.462 10
-0.172 -0.095 9.5 0
-0.172 -0.095 9.5 10
-0.095 -0.038 9.385 10
-0.076 -0.038 9.443 10
-0.038 -0.019 9.385 0
-0.038 -0.019 9.385 10
-0.114 -0.153 9.347 10
-0.095 -0.153 9.366 0
-0.095 -0.153 9.366 10
-0.076 -0.134 9.423 9
-0.134 -0.095 9.385 1
-0.134 -0.095 9.385 10
-0.038 0.038 9.423 10
-0.076 0.0 9.328 0
-0.076 0.0 9.328 10
-0.134 -0.21 9.328 0
-0.134 -0.21 9.328 10
-0.076 -0.21 9.423 10
-0.076 -0.191 9.5 9
-0.095 -0.153 9.5 1
-0.095 -0.153 9.5 10
-0.038 -0.095 9.423 10
-0.134 -0.134 9.347 9
-0.095 -0.172 9.481 10
-0.134 -0.21 9.538 1
-0.134 -0.21 9.538 10
-0.191 -0.21 9.557 0
-0.191 -0.21 9.557 10
-0.229 -0.229 9.462 0
-0.229 -0.229 9.462 10
-0.076 -0.306 9.557 10
-0.076 -0.344 9.5 10
-0.095 -0.344 9.653 0
-0.095 -0.344 9.653 10
-0.095 -0.344 9.538 10
-0.076 -0.306 9.481 9
-0.076 -0.21 9.443 1
-0.076 -0.21 9.443 10
-0.019 -0.172 9.462 0
-0.019 -0.172 9.462 10
-0.019 -0.172 9.462 10
0.019 -0.134 9.347 0
0.019 -0.134 9.347 10
0.0 -0.191 9.404 10
0.019 -0.21 9.385 10
0.038 -0.21 9.481 0
0.038 -0.21 9.481 10
0.019 -0.134 9.5 10
0.057 -0.095 9.347 9
0.076 -0.095 9.423 1
0.076 -0.095 9.423 10
0.019 -0.114 9.443 9
0.038 -0.191 9.5 1
0.038 -0.191 9.5 10
0.057 -0.21 9.538 0
0.057 -0.21 9.538 10
0.057 -0.21 9.423 10
0.095 -0.134 9.366 0
0.095 -0.134 9.366 10
0.038 -0.057 9.289 0
0.038 -0.057 9.289 10
0.095 -0.038 9.347 9
0.019 -0.095 9.404 10
0.019 -0.134 9.423 1
0.019 -0.134 9.423 10
0.019 -0.134 9.385 10
0.019 -0.172 9.404 0
0.019 -0.172 9.404 10
0.057 -0.172 9.347 10
0.076 -0.172 9.347 10
0.076 -0.134 9.308 0
0.076 -0.134 9.308 10
0.076 -0.172 9.385 0
0.076 -0.172 9.385 10
0.114 -0.134 9.308 10
0.076 -0.134 9.366 9
0.038 -0.191 9.5 1
0.038 -0.191 9.5 10
0.076 -0.172 9.5 0
0.076 -0.172 9.5 10
0.038 -0.172 9.519 9
0.038 -0.172 9.443 1
0.038 -0.172 9.443 10
0.0 -0.229 9.5 9
0.0 -0.134 9.443 1
0.0 -0.134 9.443 10
0.019 -0.095 9.404 0
0.019 -0.095 9.404 10
0.076 -0.038 9.27 10
0.095 -0.038 9.328 10
0.0 -0.134 9.423 10
0.0 -0.134 9.577 0
0.0 -0.134 9.577 10
-0.057 -0.153 9.5 10
0.0 -0.095 9.366 0
0.0 -0.095 9.366 10
0.0 -0.038 9.385 0
0.0 -0.038 9.385 10
0.038 -0.038 9.385 10
