#Comments starts with #
#Created by Program
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)
# units set to: m/sec^2

#labels start with "$" a or m [blank] type
#a = automatic, m manualexample "a undefined"
-5.516 -4.06 0.172 0
-5.516 -4.06 0.172 10
-6.205 -5.65 2.394 0
-6.205 -5.65 2.394 10
-4.941 -8.447 8.024 10
-15.84 -11.894 10.956 0
-15.84 -11.894 10.956 10
-12.852 -8.542 7.834 10
-7.355 -8.102 7.297 10
-2.03 -6.148 9.27 10
-8.005 -8.791 5.401 10
-14.423 -11.53 4.558 10
-14.02 -11.147 -1.608 0
-14.02 -11.147 -1.608 10
-12.488 -12.622 2.221 0
-12.488 -12.622 2.221 10
-15.591 -10.688 3.869 10
-10.056 -2.145 0.344 0
-10.056 -2.145 0.344 10
-9.117 -5.842 2.719 0
-9.117 -5.842 2.719 10
-9.347 -9.672 3.926 10
-8.37 -9.481 4.52 0
-8.37 -9.481 4.52 10
-6.359 -8.638 4.922 0
-6.359 -8.638 4.922 10
-4.079 -9.443 3.601 10
-5.497 -9.787 2.7 10
-4.213 -10.745 3.179 10
-3.064 -11.741 4.175 0
-3.064 -11.741 4.175 10
-5.573 -11.875 4.501 0
-5.573 -11.875 4.501 10
-8.887 -10.956 1.685 0
-8.887 -10.956 1.685 10
-7.929 -7.565 -1.551 1
-7.929 -7.565 -1.551 10
-6.55 -5.056 -6.167 0
-6.55 -5.056 -6.167 10
-7.814 -3.294 -6.876 9
-5.535 -1.091 -6.32 10
-4.099 -0.938 -5.612 0
-4.099 -0.938 -5.612 10
-4.482 -0.727 -3.792 0
-4.482 -0.727 -3.792 10
-6.052 -0.766 -1.685 10
-5.554 -0.996 -1.187 10
-5.612 -1.091 -0.536 1
-5.612 -1.091 -0.536 10
-5.286 -1.417 -0.938 0
-5.286 -1.417 -0.938 10
1.187 -2.336 -5.42 9
5.171 -2.01 -8.312 10
1.494 -3.888 -7.719 10
-3.313 -6.34 -6.531 10
-7.719 -4.826 4.06 0
-7.719 -4.826 4.06 10
-15.783 1.723 26.26 0
-15.783 1.723 26.26 10
-9.174 -0.478 11.99 0
-9.174 -0.478 11.99 10
-2.03 -4.539 -5.937 0
-2.03 -4.539 -5.937 10
-2.911 -8.83 -7.144 1
-2.911 -8.83 -7.144 10
-5.305 -13.676 -6.933 9
-9.979 -16.011 0.517 10
-17.526 -16.319 11.799 0
-17.526 -16.319 11.799 10
-21.969 -20.226 14.308 0
-21.969 -20.226 14.308 10
-16.587 -16.453 12.143 10
-5.937 -9.423 11.626 10
-3.179 -8.868 10.554 0
-3.179 -8.868 10.554 10
0.191 -11.454 5.688 10
1.608 -10.668 5.229 0
1.608 -10.668 5.229 10
0.402 -8.312 4.807 0
0.402 -8.312 4.807 10
1.091 -3.237 4.252 10
2.758 -1.608 3.524 10
0.153 -1.838 2.394 0
0.153 -1.838 2.394 10
0.593 -2.202 0.536 10
2.049 -5.018 -2.03 0
2.049 -5.018 -2.03 10
0.881 -7.585 -6.378 10
-2.528 -10.879 -12.162 10
-0.996 -10.898 -10.86 10
-0.019 -10.726 -10.075 0
-0.019 -10.726 -10.075 10
1.379 -8.447 -9.27 10
1.934 -7.431 -8.427 10
2.413 -6.282 -6.608 0
2.413 -6.282 -6.608 10
2.298 -6.091 -0.804 0
2.298 -6.091 -0.804 10
1.838 -5.956 35.971 10
0.229 -4.75 27.486 0
0.229 -4.75 27.486 10
4.041 -1.953 0.823 10
0.861 -2.432 -5.248 1
0.861 -2.432 -5.248 10
1.8 -2.202 -5.075 9
-0.306 -3.179 -5.573 10
-3.677 -7.872 -6.301 10
-9.692 -12.909 -2.777 0
-9.692 -12.909 -2.777 10
-12.105 -19.307 -2.949 1
-12.105 -19.307 -2.949 10
-15.476 -25.743 -1.8 9
-16.587 -32.332 0.67 10
-16.587 -34.381 0.881 1
-16.587 -34.381 0.881 10
-11.607 -29.784 2.566 9
-3.811 -18.943 2.739 0
-3.811 -18.943 2.739 10
-0.804 -13.082 1.072 10
2.47 -7.01 -1.398 0
2.47 -7.01 -1.398 10
2.911 -5.669 -0.517 0
2.911 -5.669 -0.517 10
3.926 -6.014 2.719 10
5.267 -7.048 4.654 10
5.516 -9.155 1.743 0
5.516 -9.155 1.743 10
4.271 -10.324 1.436 0
4.271 -10.324 1.436 10
2.47 -10.075 1.417 0
2.47 -10.075 1.417 10
-2.547 -6.244 1.034 0
-2.547 -6.244 1.034 10
-3.179 -10.458 -0.938 10
-2.202 -15.055 -2.528 0
-2.202 -15.055 -2.528 10
-1.225 -14.384 -2.49 10
-0.268 -10.668 -0.555 10
-0.632 -10.017 -0.747 0
-0.632 -10.017 -0.747 10
-0.785 -10.956 -0.766 10
-1.091 -9.462 -0.536 10
-0.766 -8.983 -1.225 10
0.249 -8.945 -1.474 0
0.249 -8.945 -1.474 10
0.9 -8.868 -1.187 1
0.9 -8.868 -1.187 10
0.344 -9.481 -1.474 0
0.344 -9.481 -1.474 10
0.095 -10.841 -2.968 0
0.095 -10.841 -2.968 10
-0.785 -10.305 -1.589 10
-1.168 -9.519 -0.498 0
-1.168 -9.519 -0.498 10
-1.245 -9.308 -0.172 10
-1.359 -9.404 0.114 10
-1.494 -9.462 0.153 0
-1.494 -9.462 0.153 10
-2.202 -9.423 0.076 10
-3.141 -9.768 0.114 0
-3.141 -9.768 0.114 10
-3.658 -10.113 0.076 10
-4.002 -10.247 -0.134 10
-3.926 -10.132 -0.459 0
-3.926 -10.132 -0.459 10
-3.083 -9.557 -1.053 9
-2.719 -9.174 -1.513 10
-2.202 -9.079 -1.57 0
-2.202 -9.079 -1.57 10
-1.762 -8.945 -1.398 0
-1.762 -8.945 -1.398 10
-2.049 -9.021 -1.206 0
-2.049 -9.021 -1.206 10
-2.643 -9.5 -1.091 10
-2.873 -9.615 -0.996 0
-2.873 -9.615 -0.996 10
-2.815 -9.596 -0.804 10
-2.739 -9.538 -0.67 10
-2.662 -9.557 -0.632 0
-2.662 -9.557 -0.632 10
-2.585 -9.596 -0.651 10
-2.432 -9.577 -0.689 10
-2.202 -9.519 -0.785 0
-2.202 -9.519 -0.785 10
-2.126 -9.557 -0.804 10
-2.164 -9.615 -0.919 1
-2.164 -9.615 -0.919 10
-2.221 -9.711 -0.976 9
-2.355 -9.596 -0.9 0
-2.355 -9.596 -0.9 10
-2.49 -9.577 -0.919 1
-2.49 -9.577 -0.919 10
-2.547 -9.519 -0.957 9
-2.566 -9.5 -1.015 10
-2.547 -9.443 -1.053 0
-2.547 -9.443 -1.053 10
-2.604 -9.404 -1.11 10
-2.624 -9.385 -1.168 10
-2.681 -9.423 -1.245 10
-2.604 -9.462 -1.245 0
-2.604 -9.462 -1.245 10
-2.604 -9.519 -1.245 10
-2.49 -9.557 -1.149 10
-2.451 -9.577 -1.091 0
-2.451 -9.577 -1.091 10
-2.394 -9.557 -1.053 10
-2.355 -9.481 -0.976 10
-2.298 -9.462 -0.9 0
-2.298 -9.462 -0.9 10
-2.298 -9.5 -0.823 0
-2.298 -9.5 -0.823 10
-2.26 -9.557 -0.842 10
-2.26 -9.634 -0.785 1
-2.26 -9.634 -0.785 10
-2.241 -9.692 -0.766 9
-2.26 -9.749 -0.727 10
-2.221 -9.807 -0.747 10
-2.164 -9.845 -0.708 0
-2.164 -9.845 -0.708 10
-2.126 -9.826 -0.632 0
-2.126 -9.826 -0.632 10
-2.126 -9.864 -0.632 0
-2.126 -9.864 -0.632 10
-2.106 -9.768 -0.651 10
-2.068 -9.711 -0.632 10
-2.106 -9.692 -0.651 10
-2.106 -9.692 -0.708 0
-2.106 -9.692 -0.708 10
-2.164 -9.692 -0.708 10
-2.241 -9.596 -0.861 10
-2.355 -9.73 -0.938 0
-2.355 -9.73 -0.938 10
-2.221 -9.672 -0.938 10
-2.126 -9.634 -0.919 10
-2.164 -9.519 -0.881 10
-2.221 -9.557 -0.861 0
-2.221 -9.557 -0.861 10
-2.451 -9.577 -0.881 0
-2.451 -9.577 -0.881 10
-2.7 -9.538 -0.842 10
